Género,Escenario,Personaje,Motivación,Extensión,Cuentos,Pregunta,Opciones,Respuesta,fraseIncompleta,opciones,respuestaCorrecta,ordenarFrases
Ciencia ficción,Estación espacial,Científico curioso,Descubrir un nuevo planeta,Corto,"""Leo, el científico, miraba cada noche por el gran telescopio de la estación. Le encantaba contar estrellas. Una noche, vio un puntito azul que no estaba en sus mapas. ¡Era nuevo! Se movía lentamente entre las estrellas fijas. Con su tableta, calculó su camino. ¡Era un planeta! Pequeño y azul, como una canica en la oscuridad. Llamó a sus amigos para mostrarles el descubrimiento. Todos celebraron con gelatina espacial. Leo llamó al planeta """"Aurora"""", por el brillo que tenía. Ahora, cada noche, Leo saluda a su nuevo amigo azul en el vasto cielo, feliz de haber añadido un mundo a su familia estelar.""",¿Qué descubrió Leo al mirar por su telescopio?,Una nave desconocida; Un nuevo planeta azul; Una estrella fugaz,Un nuevo planeta azul,Leo decidió llamar al nuevo planeta ___,Cosmos; Aurora; Azulito,Aurora,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Estación espacial,Científico curioso,Descubrir un nuevo planeta,Mediano,"""En la Estación Espacial Alfa, la científica Luna pasaba sus turnos libres escaneando el cosmos con el radiotelescopio. Sus compañeros decían que buscaba agujas en un pajar cósmico, pero ella creía que ahí fuera había vida. Una tarde, entre el ruido de fondo del universo, captó una señal débil y rítmica. No era natural; parecía un código. ¡Era un patrón de pulsos! El origen: un planeta en la zona habitable de una estrella lejana, Kepler-186f. Luna trabajó sin descanso, descifrando el mensaje. No eran palabras, sino matemáticas: una sencilla serie de números primos, la huella digital de una inteligencia. Su emoción fue contagiosa y pronto toda la estación ayudaba. El ingeniero Kai mejoró los receptores y la pilota Zoe calculó la trayectoria exacta. Finalmente, Luna respondió al saludo cósmico, enviando la misma secuencia de primos hacia el planeta. No recibieron una respuesta inmediata, pero eso no importaba. Habían hecho el primer contacto. Esa noche, Luna miraba fijamente a Kepler-186f desde la cúpula de observación. Ya no era un punto más en el mapa. Ahora sentía que, en algún lugar de allí, alguien también miraba hacia las estrellas, preguntándose si estaban solos. Habían descubierto un planeta, pero, más importante, habían encontrado un eco en la soledad del espacio.""",¿Qué descubrió Luna en los datos del radiotelescopio?,Un mensaje de su estación; Una señal con un patrón matemático; Un asteroide en dirección a la Tierra,Una señal con un patrón matemático,Luna respondió al planeta enviando la misma secuencia de ___,Notas musicales; Números primos; Luces parpadeantes,Números primos,"Luna buscaba señales de vida desde la estación Alfa;Captó una señal con un patrón de pulsos matemáticos;Descifró que provenía del planeta Kepler-186f; Envió la misma secuencia como respuesta; Entendió que no estaban solos en el universo
"
Ciencia ficción,Estación espacial,Científico curioso,Descubrir un nuevo planeta,Largo,"""El Dr. Aris Thorne era un veterano de la Estación Científica Kepler, un hombre cuya paciencia era tan vasta como el espacio que estudiaba. Su obsesión era Gliese 581g, un exoplaneta rocoso con indicios de una atmósfera estable. Mientras otros científicos analizaban datos de atmósferas o composiciones minerales, Aris escuchaba. Creía que si existía vida, incluso microbial, el planeta tendría una """"firma bioacústica"""", un latido ambiental imperceptible para la mayoría de los instrumentos. Tras años de desarrollar un algoritmo de filtrado de ruido ultrasensible, finalmente lo aplicó a los datos sísmicos indirectos de Gliese 581g. La computadora arrojó una visualización que le quitó el aliento: no era caos, sino un patrón complejo y ondulante, como una sinfonía de baja frecuencia. Era el sonido de vastos océanos subterráneos chocando contra cavernas de hielo, de vientos supersónicos modulados por extrañas formaciones geológicas. Era la música del planeta. Pero dentro de esa sinfonía, encontró una anomalía: una secuencia de pulsos resonantes que se repetía cada 23 horas. Era demasiado perfecta para ser natural. La noticia dividió a la estación. Algunos, como la pragmática ingeniera jefe Anya, lo acusaron de ver patrones donde no los había, de un deseo desesperado por encontrar compañía cósmica. Aris, sin embargo, se obsesionó. Usando el sistema de comunicación láser de largo alcance, decidió responder. No con matemáticas, sino con la misma sinfonía que el planeta emitía, pero reintroduciendo la anomalía rítmica, como diciendo """"he escuchado tu canción"""". Días después, la sonda de monitoreo registró un cambio. La anomalía en la sinfonía de Gliese 581g había variado, incorporando una nueva frecuencia que resonaba armónicamente con la que Aris había enviado. No hubo mensajes claros, ni naves acercándose. Pero en ese momento, Aris supo la verdad. No había descubierto un nuevo planeta para cartografiarlo o colonizarlo. Había iniciado una conversación. Una lenta, majestuosa y silenciosa conversación que podría durar siglos. Había descubierto que el universo no era mudo, sino que cantaba, y que ellos, por primera vez, habían aprendido a tararear la misma melodía.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Estación espacial,Científico curioso,Resolver un misterio espacial,Corto,"""En la estación, se oía un """"pss, pss"""" muy suave por los tubos de ventilación. Todos tenían miedo. Era Ben, el científico pequeño, quien decidió resolver el misterio. Siguió el sonido con un vaso pegado a la oreja, como un detective. El """"pss, pss"""" lo guió hasta una puerta cerrada. Con permiso del capitán, la abrió. ¡Ahí estaba! Era una familia de ratones espaciales que se había colado en una caja de comida. La mamá ratona siseaba para calmar a sus bebés. Ben sonrió. No era un monstruo, ¡era una familia! Llevó a los ratones a una jaula especial y les dio queso. El misterio estaba resuelto y la estación volvió a estar tranquila.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Estación espacial,Científico curioso,Resolver un misterio espacial,Mediano,"""La Estación Omega sufría apagones breves pero molestos. Las luces parpadeaban y los ordenadores se reiniciaban. La ingeniera jefe aseguraba que no era un fallo técnico. El científico Kael, amante de los misterios, decidió investigar. Revisando los registros de energía, notó un patrón: los apagones ocurrían siempre cerca del módulo de biología, y siempre de noche. Kael montó guardia esa noche en el invernadero, con un sensor de energía portátil. De repente, las luces se apagaron. En la penumbra, vio unas tenues estelas de luz azul moverse hacia las plantas de lunaria, unas flores que brillaban en la oscuridad. Kael encendió su linterna. ¡No podía creer lo que veía! Tres pequeñas criaturas cristalinas, como geodos con patitas, estaban """"bebiendo"""" la energía de las lunarias. Se asustaron y huyeron, dejando un rastro de polvo luminiscente. Kael las siguió hasta una grieta en el casco exterior, un espacio imposible para cualquier ser conocido. Usando un traje espacial, descubrió una pequeña colonia de estas criaturas que vivían en el vacío, alimentándose de la energía residual de la estación. Las lunarias, con su brillo, eran un manjar para ellas. No eran ladronas, solo tenían hambre. En lugar de ahuyentarlas, Kael diseñó un """"comedero"""" de energía solar en el exterior de la estación. Los apagones cesaron. Kael no solo había resuelto el misterio, sino que había hecho los primeros contactos con una forma de vida interestelar única, que resultó ser la verdadera dueña de aquel rincón del espacio.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Estación espacial,Científico curioso,Resolver un misterio espacial,Largo,"""La Estación de Investigación Temporal """"Cronos"""" orbitaba un agujero negro supermasivo, un lugar donde el tiempo se distorsionaba. La Dra. Elara Voss estudiaba estos efectos. Un día, recibió una alerta: una sonda de exploración que se suponía perdida hacía 50 años, la """"Pioneer XII"""", había reaparecido intacta en una órbita estable. Era imposible. El misterio se profundizó cuando la recuperaron. El reloj de la nave marcaba que solo habían pasado 7 días para su tripulación en criosueño. Elara, fascinada, investigó los diarios de la Pioneer XII. El capitán describía haber esquivado una """"tormenta de gravitones"""" y caído en una """"nube de energía temporal"""". Para Elara, eso sonaba a la espuma cuántica, un estado donde las leyes de causa y efecto se desdibujan. El misterio no era solo dónde habían estado, sino cuándo. Al analizar el polvo interestelar acumulado en el casco de la sonda, Elara encontró isótopos que no existían en la época de su lanzamiento. Eran partículas del futuro. La Pioneer XII no solo había viajado en el tiempo, sino que había traído un pedazo del mañana consigo. El descubrimiento provocó un debate ético y científico. ¿Podían usar esos datos para predecir el futuro? ¿Debían intentar replicar el fenómeno? Elara se dio cuenta de que el mayor misterio no era la física, sino la responsabilidad. Decidió sellar los isótopos en un contenedor blindado, argumentando que algunas puertas era mejor no abrirlas. La Pioneer XII fue puesta en cuarentena eterna. Elara resolvió el misterio espacial más grande de la historia, pero su solución fue ocultarlo. Aprendió que a veces, resolver un enigma no significa revelar la respuesta, sino tener la sabiduría para proteger al universo de las consecuencias de esa respuesta.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Estación espacial,Científico curioso,Ayudar a un compañero perdido,Corto,"""Kira, la científica, estaba triste. Su amigo, el robot Sparky, se había perdido en la estación. Sparky era pequeño y se asustaba fácilmente. Kira tenía que encontrarlo. Recordó que a Sparky le encantaba el olor de la sopa de fideos verdes. ¡Una idea! Calentó un poco de sopa en su laboratorio y abrió la puerta. El delicioso olor se esparció por los pasillos. Al poco rato, oyó un """"bip-bip"""" tímido. ¡Era Sparky! Lo siguió hasta un armario oscuro donde el robot se había escondido. Sparky saltó a sus brazos, feliz. Kira lo abrazó fuerte. A veces, para encontrar a un amigo, no se necesita un mapa, sino saber lo que le gusta.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Estación espacial,Científico curioso,Ayudar a un compañero perdido,Mediano,"""Durante una caminata espacial rutinaria, una ráfaga de micrometeoritos dañó el propulsor de la ingeniera Zara. Perdió el contacto por radio y la deriva la estaba alejando de la estación. El pánico se apoderó del puente de mando. El científico Ravi, su mejor amigo, se negó a darla por perdida. Zara era música. Siempre decía que el universo tenía una melodía. Ravi recordó una teoría suya: las ondas gravitacionales, esas pequeñas arrugas en el espacio-tiempo, podían usarse como una especie de sonar. Ravi recalibró el sensor gravitacional de la estación, buscando la """"firma"""" única de la masa del traje de Zara en el océano de ondas cósmicas. Fue una tarea ímproba, como buscar una nota específica en una sinfonía de mil millones de instrumentos. Pero Ravi no se rindió. Horas después, encontró una anomalía, un """"zumbido"""" constante que se alejaba. ¡Era ella! Sin radio, ¿cómo guiarla de vuelta? Ravi tuvo otra idea. Usó los propulsores de orientación de la estación, encendiéndolos en un patrón rítmico: tres pulsos cortos, dos largos, uno corto. Era la contraseña que usaban para todo. En la oscuridad, Zara vio los destellos a lo lejos. ¡Era una señal! Usando el aire restante de su propulsor dañado, se impulsó hacia los destellos. Finalmente, el brazo robótico de la estación la atrapó. Ravi no la había rescatado con una nave, sino con ciencia, ingenio y la canción secreta de su amistad.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Estación espacial,Científico curioso,Ayudar a un compañero perdido,Largo,"""La Dra. Aris Thorne (la misma de """"La Sinfonía Silenciosa"""") enfrentaba su mayor pesadilla. Su mentor y amigo, el Dr. Finn, había caído a través de un """"desgarro dimensional"""" durante un experimento con un motor de salto cuántico. No estaba muerto, según las lecturas, sino atrapado en un espacio sub-dimensional, una burbuja de realidad fuera del continuum espacio-tiempo. Para el resto, Finn estaba perdido para siempre. Para Aris, era un problema por resolver. La teoría decía que ese espacio sub-dimensional era un vacío informe, donde las leyes de la física se desvanecían. Cualquier señal que enviaran se disiparía al instante. Pero Aris recordó su trabajo anterior: la firma bioacústica. Si un planeta tenía un latido, un ser humano, con su mente consciente, debía tener uno mucho más complejo. Desarrolló un sensor de """"conciencia cuántica"""", un dispositivo que no buscaba materia o energía, sino el patrón único de un pensamiento autoconsciente. Era un plan desesperado. Sus colegas le advirtieron que incluso si lo encontraba, no había forma de traerlo de vuelta. Tras días de escanear, el sensor captó un débil y caótico patrón: puro terror y confusión. Era Finn. Ahora, el verdadero desafío: crear un """"anzuelo"""" para atraerlo de vuelta. Aris entendió que en un vacío sin referencias, solo una emoción primaria y poderosa podría servir de faro. Canalizó todos sus recuerdos de Finn: su risa, sus lecciones, su amistad, y los codificó en una única y poderosa señal de """"nostalgia pura"""". La lanzó hacia el desgarro. En el monitor, el patrón caótico de Finn se calmó, se estabilizó y, de repente, comenzó a moverse hacia la señal. Con un estallido de energía, Finn materializó en el laboratorio, desorientado pero vivo. Aris no había rescatado a un cuerpo; había pescado una mente perdida en la nada, usando el lazo más fuerte que conocía: el recuerdo de su humanidad compartida.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
Ciencia ficción,Estación espacial,Ingeniera experta,Reparar la nave antes de un viaje,Corto,"""La nave Estrella Fugaz tenía un problema: su motor hacía """"clic, clac, clic"""". Sin repararlo, no podrían ir a buscar suministros. Lila, la ingeniera, se puso su overol azul y agarró sus herramientas. Se metió dentro del motor, que era grande y lleno de tubos brillantes. Encontró una tuerca floja que saltaba de un lado a otro. ¡Esa era el clic-clac! Con su llave gigante, apretó la tuerca muy fuerte. Luego, olió a aceite quemado. Un tubo pequeño tenía una gotera. Lo selló con cinta plateada especial. ¡Listo! Encendió el motor y este sonó como un gato contento: """"prrrrr, prrrrr"""". Lila sonrió. La Estrella Fugaz estaba lista para volar.""",texto pregunta,Opción1; Opción2; Opción3,Opción1,El dragón vivía en un ___,Bosque; Castillo; Libro,Castillo,"Leo mira las estrellas desde su telescopio;Calcula la trayectoria del puntito azul que apareció;Llama a sus amigos para mostrarles el descubrimiento;Todos celebran con gelatina espacial;Cada noche, Leo saluda a su nuevo amigo azul en el cielo
"
